"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","439,039,000","20.6"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","14,237,000","20.5"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","93,958,000","17.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","58,242,000","11.1"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","89,838,000","30.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","62,429,000","8.2"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","1,180,520,000","14.1"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","51,093,000","13.1"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","281,183,000","9.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","36,338,000","21.5"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","435,781,000","23.7"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","63,714,000","19.1"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","CONCENTRATION","CONCENTRATION: (TOP 10 PCT OF OPERATIONS ON FARM SALES BASIS)","222,044,000","(L)"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","CONCENTRATION","CONCENTRATION: (TOP 25 PCT OF OPERATIONS ON FARM SALES BASIS)","565,156,000","16.7"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","CONCENTRATION","CONCENTRATION: (TOP 50 PCT OF OPERATIONS ON FARM SALES BASIS)","1,120,990,000","13.8"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","CONCENTRATION","CONCENTRATION: (TOP 75 PCT OF OPERATIONS ON FARM SALES BASIS)","1,823,558,000","13.8"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (1,000 TO 2,499 $)","803,000","34.9"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (1,000,000 OR MORE $)","2,432,192,000","13.2"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (10,000 TO 24,999 $)","8,837,000","16.9"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (100,000 TO 249,999 $)","66,727,000","10.3"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (2,500 TO 4,999 $)","1,301,000","14.2"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (25,000 TO 49,999 $)","13,624,000","18.2"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (250,000 TO 499,999 $)","87,048,000","33.3"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (5,000 TO 9,999 $)","3,449,000","10.3"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (50,000 TO 99,999 $)","26,753,000","11.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (500,000 TO 999,999 $)","143,914,000","21.9"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (LESS THAN 1,000 $)","21,728,000","7.7"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (1,000 TO 4,999 $)","19,227,000","5.7"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (10,000 TO 24,999 $)","73,319,000","7.8"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (100,000 OR MORE $)","2,416,892,000","13.2"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (25,000 TO 49,999 $)","99,368,000","10.4"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (5,000 TO 9,999 $)","26,703,000","4.8"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (50,000 OR MORE $)","2,584,768,000","12.8"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (50,000 TO 99,999 $)","167,876,000","8.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (500 TO 999 $)","1,697,000","11.2"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (LESS THAN 500 $)","1,291,000","9.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (1,000 TO 2,499 $)","709,000","37.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (1,000,000 OR MORE $)","2,429,785,000","13.2"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (10,000 TO 24,999 $)","8,811,000","16.4"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (100,000 TO 249,999 $)","68,173,000","10.4"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (2,500 TO 4,999 $)","1,297,000","6.5"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (25,000 TO 49,999 $)","13,398,000","14.1"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (250,000 TO 499,999 $)","87,172,000","33.8"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (5,000 TO 9,999 $)","3,456,000","10.6"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (50,000 TO 99,999 $)","27,562,000","10.1"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (500,000 TO 999,999 $)","143,175,000","22.2"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (LESS THAN 1,000 $)","22,836,000","12.4"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1111)","88,928,000","37.7"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1112)","784,489,000","17.4"
